地名,センター,燃えるごみ,燃えないごみ,資源物
公文名,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
沢田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
島川,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
田ヶ谷,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀田上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀田下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀之内,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
日吉町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
宮前,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
西通り,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
